name;kv;max_voltage_lipo;max_power_w;max_current_a;mass_g;resistance_mohm;diameter_mm;height_mm;URL;
BETAFPV 0802SE 19500KV;19500;1;20;5;1.83;0;10.5;8.8;https://betafpv.com/collections/0802-motors/products/0802se-22000kv-brushless-motors;
Happymodel SE0802 16000KV;16000;1;20;5;1.7;0;10.5;10;https://www.happymodel.cn/index.php/2020/03/06/se0802-brushless-motor/;
iFlight XING 1404 4150KV;4150;4;200.8;12.03;8;188;17.7;12.5;https://iflight-rc.eu/nl-nl/products/xing-1404-4150kv-defender-25?_pos=2&_fid=5c7268cda&_ss=c;
iFlight XING 1504 3100KV;3100;6;207;12.44;12.3;247;21.6;13.5;https://iflight-rc.eu/nl-nl/products/xing-1504-3100kv-motor?_pos=1&_fid=5c7268ce8&_ss=c;
iFlight XING2 1404 3800KV;3800;4;238.3;14.33;9.2;256;18.6;13.7;https://www.drone-fpv-racer.com/en/iflight-xing2-unibell-1404-3800kv-motor-7619.html;
Happymodel EX1103 8000KV;8000;3;100;8;3.7;0;13.5;10;https://www.happymodel.cn/index.php/2019/06/04/happymodel-ex1103-kv6000-8000-12000-2-4s-brushless-motor/;check
T-Motor F60 Pro V 2207 1950KV;1950;6;949;42;33.8;60;26.8;20.4;https://www.aliexpress.us/item/3256805747977536.html?gatewayAdapt=nld2usa4itemAdapt#nav-specification;
T-Motor F60 Pro V 2207 2550KV;2550;4;602;41;33.8;43;26.8;20.4;https://www.aliexpress.us/item/3256805747977536.html?gatewayAdapt=nld2usa4itemAdapt#nav-specification;
EMAX ECO II 2306 2400KV;2400;6;740;44;30.2;47;28;18.6;https://emaxmodel.com/collections/ecoii-series/products/emax-eco-ii-series-2306-1700kv-1900kv-2400kv-brushless-motor-for-rc-drone-fpv-racing?variant=36534585852062;
BrotherHobby Avenger 2306 2450KV;2450;5;1048.73;52.7;33.6;45;28;18.3;https://www.brotherhobbystore.com/avenger-23065-v3-motorcw-p0114.html;
RCINPOWER GTS V2 2207 1960KV;1960;5;1200;50.2;29.9;58;27.3;17.9;https://www.aliexpress.com/i/3256804917885521.html?gatewayAdapt=nld2glo4itemAdapt#nav-specification;
EMAX RS2306 2400KV;2400;4;950;38;33.8;0;28.5;17.1;https://emaxmodel.com/products/emax-rs2306-white-editions-racespec-motor-2750kv-2400kv-3-4s-racing-brushess-motor-for-fpv-racing;check
iFlight XING2 2207 1855KV;1855;6;841.9;35.08;31.6;50;29.1;19.1;https://iflight-rc.eu/en/products/xing2-2207-1855kv-fpv-motor;
T-Motor Velox V2207 1950KV;1950;6;1003;45.8;31.4;50;27.5;19.4;https://tmotorhobby.com/goods-984-T-Motor+VELOX+V2+V2207+1750KV1950KV2550KV+Fpv+Motor.html;
SunnySky X3530 650KV;650;6;2310;110;305;11.3;42.5;50;https://www.hobbydrone.cz/motor-sunnysky-v3-x3530-650kv/?srsltid=AfmBOopAQcVmx8V79DW7VZPtJDA3e1ozqx29H5fdcgL7kJmLcFbQWYc8;
SunnySky X3525 880KV;880;6;1300;77;253;10;42.5;50;https://sunnyskyusa.com/products/sunnysky-x3525-brushless-motors?variant=45197935951;
SunnySky V5210 300KV;300;6;1100;44;200;76;59;25;https://sunnyskyusa.com/products/sunnysky-v5210-motor;
T-Motor MN3510 630KV;630;4;495;22;97;65;41.8;28.5;https://store.tmotor.com/product/mn3510-motor-navigator-type.html;
T-Motor MN4012 400KV;400;8;750;25;134;75;44.7;32.5;https://store.tmotor.com/product/mn4012-kv400-motor-navigator-type.html;
SunnySky X4108S 480KV;480;6;448;18;112;178;46.1;25.5;https://www.himodel.com/electric/SUNNYSKY_X4108S_480KV_Outrunner_Brushless_Motor_for_Multi-rotor_Aircraft.html;
T-Motor MN3110 700KV;700;6;466;21;80;92;37.7;28.5;https://store.tmotor.com/product/mn3110-motor-navigator-type.html;
LIGPOWER V505 KV260 12S;260;12;2500;52;215;58;55.6;38.9;https://eu.robotshop.com/nl/products/ligpower-v505-kv260-12s-vtol-borstelloze-drone-motor;
Defender 20 1204;6200;3;89.7;7.85;5.8;202;13.5;14.2;https://iflight-rc.eu/nl-nl/products/defender-20-1204-motor?_pos=1&_fid=e40bf6e1b&_ss=c;